dataset,method,scope,structure,source_structure,metric,mean,std,n_cases,source_file
ACDC,ScribFormer,per_structure,left ventricle,LV,dsc,0.9078,0.0514,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,per_structure,left ventricle,LV,hd95,4.96,5.56,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,per_structure,left ventricle,LV,iou,0.8349,0.0803,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,per_structure,left ventricle,LV,nsd,0.8974,0.0717,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,per_structure,myocardium,MYO,dsc,0.8186,0.0678,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,per_structure,myocardium,MYO,hd95,58.93,81.93,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,per_structure,myocardium,MYO,iou,0.6979,0.0911,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,per_structure,myocardium,MYO,nsd,0.8711,0.0818,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,overall,overall,,dsc,0.8554,0.0576,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,overall,overall,,hd95,23.74,27.42,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,overall,overall,,iou,0.7564,0.0774,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,overall,overall,,nsd,0.8604,0.0743,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,per_structure,right ventricle,RV,dsc,0.8398,0.1093,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,per_structure,right ventricle,RV,hd95,7.33,4.21,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,per_structure,right ventricle,RV,iou,0.7362,0.1376,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,ScribFormer,per_structure,right ventricle,RV,nsd,0.8126,0.1189,30,/home/gaoqi/ScribFormer/model/ACDC_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
ACDC,BiomedParse v2,per_structure,left ventricle,left ventricle,dsc,0.9604,0.0182,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,per_structure,left ventricle,left ventricle,hd95,1.58,0.16,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,per_structure,left ventricle,left ventricle,iou,0.9244,0.0333,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,per_structure,left ventricle,left ventricle,nsd,0.9912,0.0086,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,per_structure,myocardium,myocardium,dsc,0.9221,0.0289,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,per_structure,myocardium,myocardium,hd95,1.6,0.24,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,per_structure,myocardium,myocardium,iou,0.8567,0.0486,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,per_structure,myocardium,myocardium,nsd,0.9896,0.0109,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,overall,overall,,dsc,0.8597,0.1039,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,overall,overall,,hd95,5.5,5.58,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,overall,overall,,iou,0.7944,0.1084,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,overall,overall,,nsd,0.9005,0.1024,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,per_structure,right ventricle,right ventricle,dsc,0.6966,0.3008,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,per_structure,right ventricle,right ventricle,hd95,14.61,17.18,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,per_structure,right ventricle,right ventricle,iou,0.6021,0.3087,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,BiomedParse v2,per_structure,right ventricle,right ventricle,nsd,0.7206,0.3047,30,/home/gaoqi/BiomedParse/gq_data/acdc/test/eval_results/acdc_v2_cmpb.json
ACDC,VoxTell,per_structure,left ventricle,left ventricular cavity,dsc,0.9178,0.0497,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,per_structure,left ventricle,left ventricular cavity,hd95,1.28,0.69,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,per_structure,left ventricle,left ventricular cavity,iou,0.8518,0.0815,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,per_structure,left ventricle,left ventricular cavity,nsd,0.9923,0.0138,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,per_structure,myocardium,left ventricular myocardium,dsc,0.8448,0.0408,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,per_structure,myocardium,left ventricular myocardium,hd95,1.2,0.3,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,per_structure,myocardium,left ventricular myocardium,iou,0.7334,0.0605,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,per_structure,myocardium,left ventricular myocardium,nsd,0.993,0.0068,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,overall,overall,,dsc,0.8703,0.0335,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,overall,overall,,hd95,1.4,0.4,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,overall,overall,,iou,0.7756,0.0514,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,overall,overall,,nsd,0.9875,0.0087,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,per_structure,right ventricle,right ventricle,dsc,0.8483,0.0641,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,per_structure,right ventricle,right ventricle,hd95,1.71,0.69,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,per_structure,right ventricle,right ventricle,iou,0.7418,0.0948,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,VoxTell,per_structure,right ventricle,right ventricle,nsd,0.9772,0.0152,30,/home/gaoqi/VoxTell/gq_result/acdc/cmpb_test/evaluation_results_acdc_cmpb.json
ACDC,SAT-Pro,per_structure,left ventricle,left heart ventricle,dsc,0.9388,0.0244,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,per_structure,left ventricle,left heart ventricle,hd95,2.38,0.48,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,per_structure,left ventricle,left heart ventricle,iou,0.8855,0.0426,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,per_structure,left ventricle,left heart ventricle,nsd,0.9444,0.0269,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,per_structure,myocardium,myocardium,dsc,0.8787,0.0321,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,per_structure,myocardium,myocardium,hd95,2.68,0.77,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,per_structure,myocardium,myocardium,iou,0.785,0.0503,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,per_structure,myocardium,myocardium,nsd,0.9254,0.0321,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,overall,overall,,dsc,0.908,0.015,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,overall,overall,,hd95,2.77,0.51,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,overall,overall,,iou,0.8339,0.0242,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,overall,overall,,nsd,0.9169,0.0276,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,per_structure,right ventricle,right heart ventricle,dsc,0.9067,0.0366,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,per_structure,right ventricle,right heart ventricle,hd95,3.23,0.72,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,per_structure,right ventricle,right heart ventricle,iou,0.8312,0.0579,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAT-Pro,per_structure,right ventricle,right heart ventricle,nsd,0.881,0.0434,30,/home/gaoqi/SAT/gq_dataset/ACDC/test/results_pro_cmpb/results_acdc_cmpb.json
ACDC,SAM3-Full,per_structure,left ventricle,left ventricle,dsc,0.9517,0.0394,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,per_structure,left ventricle,left ventricle,hd95,2.17,2.32,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,per_structure,left ventricle,left ventricle,iou,0.9104,0.0667,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,per_structure,left ventricle,left ventricle,nsd,0.9757,0.0381,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,per_structure,myocardium,myocardium,dsc,0.9182,0.0192,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,per_structure,myocardium,myocardium,hd95,2.27,2.11,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,per_structure,myocardium,myocardium,iou,0.8493,0.033,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,per_structure,myocardium,myocardium,nsd,0.981,0.02,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,overall,overall,,dsc,0.9293,0.0281,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
