dataset,method,scope,structure,source_structure,metric,mean,std,n_cases,source_file
BTCV_cervix,ScribbleBench,per_structure,small bowel,small_bowel,iou,0.3843,0.0856,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,small bowel,small_bowel,nsd,0.3724,0.0823,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,uterus,uterus,dsc,0.7827,0.044,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,uterus,uterus,hd95,19.27,11.54,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,uterus,uterus,iou,0.6451,0.0598,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,uterus,uterus,nsd,0.6225,0.0987,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,EFFDNet,per_structure,bladder,class_1,dsc,0.8927,0.1046,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,bladder,class_1,hd95,39.14,65.46,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,bladder,class_1,iou,0.8201,0.1478,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,bladder,class_1,nsd,0.7517,0.212,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,overall,overall,,dsc,0.6875,0.0974,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,overall,overall,,hd95,39.88,36.53,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,overall,overall,,iou,0.5523,0.1063,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,overall,overall,,nsd,0.5159,0.1292,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,rectum,class_3,dsc,0.6552,0.0902,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,rectum,class_3,hd95,39.02,39.97,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,rectum,class_3,iou,0.4943,0.1054,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,rectum,class_3,nsd,0.4852,0.0799,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,small bowel,class_4,dsc,0.5267,0.1332,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,small bowel,class_4,hd95,45.85,22.97,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,small bowel,class_4,iou,0.3698,0.1373,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,small bowel,class_4,nsd,0.3311,0.1247,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,uterus,class_2,dsc,0.6757,0.1421,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,uterus,class_2,hd95,35.5,39.11,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,uterus,class_2,iou,0.525,0.1381,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,EFFDNet,per_structure,uterus,class_2,nsd,0.4956,0.1456,6,/home/gaoqi/EFFDNet/model/BTCV_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,bladder,class_1,dsc,0.8978,0.058,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,bladder,class_1,hd95,16.14,29.43,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,bladder,class_1,iou,0.8184,0.0893,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,bladder,class_1,nsd,0.6599,0.1637,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,overall,overall,,dsc,0.6414,0.0687,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,overall,overall,,hd95,34.23,18.86,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,overall,overall,,iou,0.5049,0.0724,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,overall,overall,,nsd,0.4241,0.0854,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,rectum,class_3,dsc,0.5931,0.1341,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,rectum,class_3,hd95,47.04,41.73,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,rectum,class_3,iou,0.4339,0.1552,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,rectum,class_3,nsd,0.385,0.1288,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,small bowel,class_4,dsc,0.4129,0.1569,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,small bowel,class_4,hd95,50.64,28.36,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,small bowel,class_4,iou,0.2709,0.1311,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,small bowel,class_4,nsd,0.2505,0.0736,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,uterus,class_2,dsc,0.6617,0.0507,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,uterus,class_2,hd95,23.11,6.73,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,uterus,class_2,iou,0.4962,0.0563,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,ScribFormer,per_structure,uterus,class_2,nsd,0.4011,0.0814,6,/home/gaoqi/ScribFormer/model/BTCV_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
BTCV_cervix,BiomedParse v2,per_structure,bladder,Bladder,dsc,0.9455,0.0143,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,bladder,Bladder,hd95,3.05,0.58,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,bladder,Bladder,iou,0.8969,0.0256,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,bladder,Bladder,nsd,0.8596,0.0522,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,overall,overall,,dsc,0.3643,0.0468,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,overall,overall,,hd95,81.6,31.73,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,overall,overall,,iou,0.3038,0.0316,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,overall,overall,,nsd,0.2939,0.0396,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,rectum,Rectum,dsc,0.0,0.0,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,rectum,Rectum,hd95,277.53,85.55,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,rectum,Rectum,iou,0.0,0.0,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,rectum,Rectum,nsd,0.0,0.0,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,small bowel,Small bowel,dsc,0.3624,0.1511,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,small bowel,Small bowel,hd95,89.71,36.25,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,small bowel,Small bowel,iou,0.2304,0.1177,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,small bowel,Small bowel,nsd,0.2161,0.0948,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,uterus,Uterus,dsc,0.1492,0.1612,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,uterus,Uterus,hd95,53.39,15.58,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,uterus,Uterus,iou,0.0879,0.1006,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,BiomedParse v2,per_structure,uterus,Uterus,nsd,0.0998,0.1146,6,/home/gaoqi/BiomedParse/gq_data/btcv/test/eval_results/btcv_cervix_v2_cmpb.json
BTCV_cervix,VoxTell,per_structure,bladder,urinary bladder,dsc,0.9489,0.0147,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,bladder,urinary bladder,hd95,2.84,0.61,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,bladder,urinary bladder,iou,0.9031,0.0264,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,bladder,urinary bladder,nsd,0.8878,0.0574,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,overall,overall,,dsc,0.822,0.0217,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,overall,overall,,hd95,22.58,6.53,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,overall,overall,,iou,0.7123,0.0325,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,overall,overall,,nsd,0.6942,0.0595,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,rectum,rectum,dsc,0.8179,0.0667,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,rectum,rectum,hd95,21.43,23.22,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,rectum,rectum,iou,0.6972,0.0929,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,rectum,rectum,nsd,0.7297,0.0875,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,small bowel,small bowel,dsc,0.6764,0.065,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,small bowel,small bowel,hd95,59.01,38.07,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,small bowel,small bowel,iou,0.5148,0.0749,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,small bowel,small bowel,nsd,0.4466,0.0548,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,uterus,uterus,dsc,0.8448,0.0493,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,uterus,uterus,hd95,7.03,4.32,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,uterus,uterus,iou,0.7343,0.0711,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,VoxTell,per_structure,uterus,uterus,nsd,0.7128,0.1313,6,/home/gaoqi/VoxTell/gq_result/btcv/cmpb_test/evaluation_results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,bladder,urinary bladder,dsc,0.9355,0.0204,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,bladder,urinary bladder,hd95,3.69,1.19,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,bladder,urinary bladder,iou,0.8795,0.0355,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,bladder,urinary bladder,nsd,0.8382,0.0812,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,overall,overall,,dsc,0.7086,0.0539,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,overall,overall,,hd95,33.39,18.3,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,overall,overall,,iou,0.5759,0.0601,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,overall,overall,,nsd,0.5499,0.0801,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,rectum,rectum,dsc,0.697,0.1223,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,rectum,rectum,hd95,43.02,61.17,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,rectum,rectum,iou,0.5459,0.1414,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,rectum,rectum,nsd,0.5832,0.104,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,small bowel,small bowel,dsc,0.5251,0.1064,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,small bowel,small bowel,hd95,62.76,22.48,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,small bowel,small bowel,iou,0.3622,0.1021,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,small bowel,small bowel,nsd,0.3356,0.1058,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,uterus,uterus,dsc,0.6769,0.0776,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,uterus,uterus,hd95,24.1,6.87,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,uterus,uterus,iou,0.5161,0.0916,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAT-Pro,per_structure,uterus,uterus,nsd,0.4425,0.1058,6,/home/gaoqi/SAT/gq_dataset/BTCV/test/results_pro_cmpb/results_btcv_cmpb.json
BTCV_cervix,SAM3-Full,per_structure,bladder,bladder,dsc,0.9549,0.0095,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,bladder,bladder,hd95,2.49,0.33,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,bladder,bladder,iou,0.9139,0.0174,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,bladder,bladder,nsd,0.9222,0.032,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,overall,overall,,dsc,0.7505,0.0239,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,overall,overall,,hd95,22.34,6.86,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,overall,overall,,iou,0.6304,0.0309,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,overall,overall,,nsd,0.6623,0.0472,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,rectum,rectum,dsc,0.7315,0.1093,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,rectum,rectum,hd95,33.18,23.37,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,rectum,rectum,iou,0.5885,0.1386,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,rectum,rectum,nsd,0.6576,0.0982,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,small bowel,small bowel,dsc,0.5315,0.0947,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,small bowel,small bowel,hd95,39.73,15.95,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,small bowel,small bowel,iou,0.3681,0.0961,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,small bowel,small bowel,nsd,0.3988,0.061,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,uterus,uterus,dsc,0.784,0.075,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,uterus,uterus,hd95,13.94,9.21,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,uterus,uterus,iou,0.6509,0.1012,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Full,per_structure,uterus,uterus,nsd,0.6707,0.1283,6,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,bladder,bladder,dsc,0.9548,0.009,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,bladder,bladder,hd95,2.45,0.3,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,bladder,bladder,iou,0.9136,0.0165,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,bladder,bladder,nsd,0.9202,0.0332,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,overall,overall,,dsc,0.7684,0.0229,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,overall,overall,,hd95,22.01,6.19,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,overall,overall,,iou,0.6451,0.0297,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,overall,overall,,nsd,0.6605,0.0366,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,rectum,rectum,dsc,0.7354,0.0932,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,rectum,rectum,hd95,33.5,19.6,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,rectum,rectum,iou,0.5907,0.1246,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,rectum,rectum,nsd,0.6575,0.0841,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,small bowel,small bowel,dsc,0.6305,0.1002,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,small bowel,small bowel,hd95,35.31,19.01,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
