experiment,dataset,iou_mean,iou_std,dice_mean,dice_std,hd95_mean,hd95_std,nsd_mean,nsd_std
R2_reduced_box_giou_loss,acdc,0.844579379045187,0.06153659836604992,0.9123868401088641,0.045238598685926786,3.3388015893937504,2.943134610491503,0.9493913361249234,0.051035142030770364
R2_reduced_box_giou_loss,btcv,0.6386939732450642,0.029643498239956323,0.7622902429884825,0.022026757084692383,22.82050199864327,5.626112671162967,0.6541702374113569,0.048540765749391805
R2_reduced_box_giou_loss,promise12,0.8263816719818851,0.05849536617086056,0.9037712568399449,0.03647165369248147,7.807499849519819,14.535134665557408,0.8526606814601052,0.07965700381219716
R2_reduced_box_giou_loss,macro_avg,0.769885008090712,,0.8594827799790972,,11.322267812518946,,0.8187407516654619,
L1_rank_r4,acdc,0.846445928272264,0.06326669464430898,0.9140728713565814,0.04201805029541911,3.5805852870131303,4.0222506444295325,0.9506521963900305,0.050836697665768656
L1_rank_r4,btcv,0.6542253790467302,0.030752940598128914,0.7760228663352411,0.023123033361857673,21.56767480697465,4.553532548517079,0.662779125097054,0.04671968846839787
L1_rank_r4,promise12,0.8198190276331723,0.06183786162757919,0.8996762113900629,0.038675281016409525,6.206960415711358,4.993826711034436,0.837505588693818,0.08612115854467141
L1_rank_r4,macro_avg,0.7734967783173888,,0.8632573163606284,,10.451740169899713,,0.8169789700603008,
L2_rank_r16,acdc,0.8504051136505978,0.059259548139090075,0.9166733103866643,0.03884530150777682,3.606348877715446,4.064507913757845,0.9529141709450467,0.04746215099206353
L2_rank_r16,btcv,0.6298717935082027,0.03264925856741962,0.7549004648499693,0.025672861750729144,24.297052846978346,7.603134365609286,0.6445906408537413,0.058068330498276456
L2_rank_r16,promise12,0.8171849382007376,0.05608860904860248,0.898317594336826,0.03497913308853275,6.249592576227627,5.513185578480621,0.838282016498121,0.07350360253287888
L2_rank_r16,macro_avg,0.765820615119846,,0.8566304565244865,,11.384331433640474,,0.8119289427656363,
S1_vision_only,acdc,0.8468303642457672,0.05701059482618244,0.9143804318025172,0.038665198707957246,3.503456424726019,3.6999860974463537,0.9510016628715529,0.045296517090838366
S1_vision_only,btcv,0.6348183886753025,0.03353247926900817,0.7594740405183718,0.027475007541393183,22.625152475978947,6.297630666812412,0.6355629354270494,0.04687481328395361
S1_vision_only,promise12,0.8217373241753092,0.056741770455523595,0.901050981821888,0.03520210782756404,5.293560184677073,5.54800018137923,0.8438441566811202,0.07502580927530174
S1_vision_only,macro_avg,0.7677953590321263,,0.8583018180475923,,10.474056361794013,,0.8101362516599075,
S2_detr_only,acdc,0.8227164819287172,0.0645550820808523,0.8989507211524311,0.043562697943239234,5.543427370549358,5.817252059929781,0.9234544605406515,0.05388916569458146
S2_detr_only,btcv,0.5748427037813422,0.08903401793054565,0.6969894786287506,0.08485701814373403,27.365028828687183,10.630267715103455,0.5927532184890058,0.08715910653687221
S2_detr_only,promise12,0.8031731277244201,0.07575550224854871,0.888792930361751,0.04889654997933331,5.468897672188999,2.6452910733072637,0.8261846553045261,0.09154681477116368
S2_detr_only,macro_avg,0.7335774378114932,,0.828244376714311,,12.79245129047518,,0.7807974447780611,
S3_heads_only,acdc,0.5763470476294711,0.12065986442157661,0.66768556471037,0.12572272675008345,16.50323265192592,15.014783146426826,0.7054300495023813,0.1261556457561933
S3_heads_only,btcv,0.4062029269721266,0.1393178180477787,0.5208041446557433,0.16723042532541413,72.06012508553688,6.8721594896012625,0.3898527340032318,0.12614715498199564
S3_heads_only,promise12,0.5545512737688815,0.1651194644556685,0.6989331159343596,0.13738238533828367,30.24795718911708,13.224168023422175,0.5210406747609412,0.16440773126650926
S3_heads_only,macro_avg,0.5123670827901597,,0.6291409417668242,,39.603771642193294,,0.5387744860888514,
